,title,view_count,like_count,duration,title_length,giveaway
83,I Gave My Credit Card To Random People,141925394,3523205,1008.0,38,0
84,I Went Back To Boy Scouts For A Day,98979734,2012514,818.0,35,0
85,"$60,000 Extreme Hide And Seek - Challenge",123485160,2417834,1079.0,41,1
86,"How I Gained 15,000,000 Subscribers In 1 Year",18201638,886790,394.0,45,0
87,Important Youtube Announcement (please watch),34681406,2433622,155.0,45,0
88,"Giving 10,000 Presents To Kids For Christmas",58538926,2777891,828.0,44,0
89,"Spending $1,000,000 In 24 Hours",143171356,3918506,911.0,31,1
90,"Last To Take Hand Off $1,000,000 Keeps It",112886926,3057502,925.0,41,1
91,"Last To Stop Riding Bike Wins $1,000,000 (Part 4)",53839376,1322387,705.0,49,1
92,"Last To Leave Toilet Wins $1,000,000 (Part 3)",76897445,1652272,946.0,45,1
93,I Ordered Pizza And Tipped The House,111583286,3804186,782.0,36,0
94,"Last to Stop Swinging Wins $1,000,000 (Part 2)",93355786,1934856,783.0,46,1
95,"$50,000 Game Of Extreme Hide And Seek - Challenge",123122698,2648965,903.0,49,1
96,I Opened A FREE BANK,91900672,2535145,652.0,20,0
97,"Going Around A Ferris Wheel 1,000 Times Straight",86057379,2104188,776.0,48,0
98,"Last To Fall Wins $1,000,000 (Part 1)",124925329,2693141,1017.0,37,1
99,Surviving 24 Hours Straight In The Bermuda Triangle,168302240,3445386,701.0,51,0
100,"I Spent $100,000 On Lottery Tickets And Won!",46839113,1242812,910.0,44,1
101,"Planting 20,000,000 Trees, My Biggest Project Ever!",87399877,4188855,443.0,51,0
102,"Last To Take Hand Off Boat, Keeps It",101567071,1864628,1008.0,36,0
103,"I Searched 100 Dumpsters, Here's What I Found",138527893,2356150,1029.0,45,0
104,"Going Through The Same Drive Thru 1,000 Times",200328383,4180240,938.0,45,0
105,"Donating $100,000 To Random Streamers",53256762,1677165,963.0,37,1
106,Surviving 24 Hours Straight In A Rain Forest,100996221,2160947,789.0,44,0
107,"Last To Leave Ramen Noodle Pool Wins $20,000",61254073,1387007,872.0,44,1
