,title,view_count,like_count,duration,title_length,giveaway
352,HOW TO MAKE A VIRAL PRANK VIDEO 100% LEGIT,107094,4844,146.0,42,0
353,Is Obama Dead? Dumb Google Searches!,208471,4353,324.0,36,0
354,How To Be MrBeast (Made By Really Old Subscriber),52266,2488,321.0,49,0
355,Should You Play Video Games?,66732,3648,179.0,28,0
356,School Is A Waste Of Time,105588,5053,174.0,25,0
357,Is Michael Bay My Dad????????,56642,1954,106.0,29,0
358,Lottery Taxes - How Much Tax Is If You Win The Lottery,111136,3066,220.0,54,0
359,Motivation For Small Youtubers #3,137438,7781,211.0,33,0
360,Giving Away Two $15 Gift Cards (forgive me boyz),34747,2210,191.0,48,1
361,Do Dislikes Matter On Youtube - Are Dislikes Bad Or Good?,348836,22957,264.0,57,0
362,How To Get Active Subscribers On Youtube? Tips 2016,64010,3463,345.0,51,0
363,Reaction Channels Are Stupid??????? #JCTG,47434,1608,194.0,41,0
364,Goodbye Laptop,130893,5997,136.0,14,0
365,2015 Year Highlights,43760,1786,243.0,20,0
366,MrBeast Rest In Pepperoni 6000,198816,5292,184.0,30,0
367,How To Think Of Good Video Ideas (Tips),88110,6139,373.0,39,0
368,"15,000 Subscribers Speedart!",67969,2828,89.0,28,0
369,Whats That Song Name?,174971,7088,112.0,21,0
370,The Anti-Beast (R.I.P. Beast),438729,15545,159.0,29,0
371,"Reacting To Family Accounts (MamaBeast, MrBeast'sLaptop, Etc)",909010,19895,595.0,61,0
372,Do Youtubers Pay Taxes????? (USA),82963,3648,391.0,33,0
373,Why Does This Video Have No Thumbnail?,62259,3164,181.0,38,0
374,How To Make Illuminati Confirmed Videos Like Peladophobian,167168,3910,254.0,58,0
375,Totally 100% Real Epic Ping Pong Trickshots,55662,3341,81.0,43,0
376,Exams Be Like,215423,8378,262.0,13,0
377,How Many People Have A Silver Play Button????,183322,6785,213.0,45,0
378,How To Get More Views And Subscribers On Youtube (2016),51446,2708,210.0,55,0
379,Should You Do COD Commentaries In 2016????,36115,1082,227.0,42,0
380,THINGS I HATE #1,342794,12848,225.0,16,0
381,Worst MrBeast6000 Intros?? (Fan Made!),455612,12675,153.0,38,0
382,Dear Razer Can I Have My 70$ Back?????,7512760,352849,179.0,38,1
383,"How Many People Get The Golden Play Button? (1,000,000 Subscribers)",95609,2819,180.0,67,0
384,"Spam404 Has Terminated 5,000,000 Videos (Including Pewdiepie)",92698,2385,143.0,61,0
385,MrBeast6000's First Video (So Bad lol),13112467,519722,187.0,38,0
386,The Evolution Of My Youtube Banners,50329,1801,59.0,35,0
387,"Shark Tank Most Successful Products, Entrepreneurs, Or Businesses 2015",131811,1044,294.0,70,0
388,PSYCHO FRIEND SMASHES MY LAPTOP! (Mc Juggernuggets Parody),206171,9147,92.0,58,0
389,FREE TO USE BO3 GAMEPLAY - 1080p,40122,1506,165.0,32,0
390,Double Agent (Short Film),100042,4368,470.0,25,0
391,YOU ONLY DO YOUTUBE FOR VIEWS,49427,2703,334.0,29,0
392,"10,000 QNA With MUM",234564,11239,235.0,19,0
393,Why I Stopped Playing Video Games - Video Game Commentary,45039,1343,284.0,57,0
394,Beast's Room Tour,217484,9055,222.0,17,0
395,YOUTUBE RED STEALS CONTENT CREATORS MONEY? What Is Youtube Red?,35962,1902,326.0,63,0
396,Millions Of Views!,428119,15693,227.0,18,0
397,"How To Get 1,000 Subscribers On Youtube - Vlogs Gaming",67541,3559,214.0,54,0
398,High School Education Be Like (Paying Taxes),35046,1422,166.0,44,0
399,I Got Bored Of Studying So This Happened,358015,12431,129.0,40,0
400,Best Microphone For Youtube (Gaming Commentaries Vocals Singing Podcast),33217,1315,217.0,72,0
401,9k Subs - Channel Talk,71210,2817,275.0,22,0
402,How Much Money Does Bill Gates Make / Have - Billionaire,78415,2811,244.0,56,0
403,MrBeast6000's Channel Trailer,1532129,124780,115.0,29,0
404,Best Non-Copyrighted Songs For Videos! (Intros Vlogs Gaming Trailers) 2016,62399,2104,179.0,74,0
405,Is Being A Youtuber Hard? Is Being A Youtuber Worth It?,67298,3290,321.0,55,0
406,Best Green Screen Lighting Ever? (Joking Obviously),220068,6502,207.0,51,0
407,How Do Youtubers Make Money? How Do Youtubers Get Paid?,67067,2617,366.0,55,0
408,Increase Youtube Views 2015! COMMUNITY CHANNELS - Boosting Youtube Views,28535,1034,232.0,72,0
409,Originality - A Youtube Poem By MrBeast6000,31793,1453,108.0,43,0
410,Stupid Things People Search On Google,1349816,73097,369.0,37,0
411,"Ad Blocker For Chrome and Mobile, Should You Use It?",69576,2837,315.0,52,0
412,PC Master Race Vs Console Peasants,38674,2039,119.0,34,0
413,Shia Labeouf Motivates Youtubers!,169073,5824,88.0,33,0
414,Knives In Video Games Cost More Than Real Life????,41937,1576,223.0,50,0
415,"Why I Sold My PS4, Not A Gaming Channel???",37903,1712,246.0,42,0
416,Selling PS4 For $250 + Elgato For $100!,33044,1129,158.0,39,1
417,Do Tags Do Anything On Youtube?????,81587,3791,217.0,35,0
418,Bronze And Platinum Play Buttons?????,636404,20450,263.0,37,0
419,7k SUBS! Smashing Ghost + AW! Plus Channel Talk!,51241,2464,298.0,48,0
420,Exility vs Dr.Pineapplez - Misleading Contest!,39021,4144,259.0,46,0
421,6 Uses For Your Advanced Warfare Disk!,27762,1156,65.0,38,0
422,MrBeast’s Outro Song,8079170,373959,131.0,20,0
423,Watching Video Games Is A Waste Of Time????,27778,1017,250.0,43,0
424,"Pewdiepie's Shoutout, What Would You Do If You Won?",36128,1777,278.0,51,0
425,How I Will Survive The Zombie Apocalypse!,199118,6206,361.0,41,0
426,How Much Money Do Youtubers Make? Real Numbers!,197457,6247,194.0,47,0
427,HONEST Shout Out Sunday! Free Subscribers!,29021,1022,210.0,42,0
428,Social Media As A Job????,27778,1139,189.0,25,0
429,Airplane Pilots Last Words Before Death,98095,2034,149.0,39,0
430,How Much Do T.V. Commercials Cost?????,28319,897,209.0,38,0
431,How To Tweet When You're Dead! DEADSOCIAL Facebook And Instagram Also!,28737,1145,269.0,70,0
432,My Favorite FaZe Clan Members?????,35563,1534,234.0,34,0
433,MrBeast6000Subs,349535,22361,332.0,15,0
434,"Youtube Networking - Aka Fake Likes, Subs, And Comments",28389,1611,268.0,55,0
435,I Hate Youtubers That Ask For Likes,137062,8453,256.0,35,0
436,My Mom Found My Channel!! :0,633398,23412,272.0,28,0
437,1080p FREE TO USE BLACK OPS 3 GAMEPLAY,55238,1410,143.0,38,0
438,"Black Ops 3 First Impressions, My First Game",27979,926,221.0,44,0
439,Dogs Opinions On Youtubers Getting BO3 Early,53718,2033,76.0,44,0
440,BO3,556098,17650,221.0,3,0
441,Xbox One Destroyer? COD Advertisement Is Free,27882,982,248.0,45,0
442,What Is Yanet Actually Thinking?????,107705,2321,189.0,36,0
443,Modern Art Is A Joke,42408,1648,176.0,20,0
444,5 Steps To Becoming Successful On Youtube!,50684,2411,193.0,42,0
445,Time,50997,1487,141.0,4,0
446,Beast $500ish Youtube PC Great For Making Videos!,50734,1153,244.0,49,1
447,"5,000 Hype",96254,2504,185.0,10,0
448,What Is Crohns Disease?????,167134,4972,261.0,27,0
449,Leaving For 7 Days,34595,1045,431.0,18,0
450,Motivation For Youtube - Ultimate Small Youtuber Motivation #2,110384,4855,209.0,62,0
451,Should I Buy An Elgato Game Capture??,28229,935,177.0,37,0
452,Fanboy Opinions On Black Ops 3,27788,731,236.0,30,0
453,Big Channel's Starting Over???,27762,753,199.0,30,0
454,SAT And Some Random Stuff,29907,964,206.0,25,0
455,How Many Youtubers Are Millionaires???,66924,1327,169.0,38,0
456,Always Changing My Name? Mr.Beast or MrBeast6000,134546,3600,161.0,48,0
457,How Much Youtube Money Do I Make???,341963,8567,148.0,35,0
458,Am I Ian From Smosh????,511491,8317,138.0,23,0
459,How Do You Turn Off A PS4? Xbox Noob In Need Of Help,66467,1561,72.0,52,0
460,"New Optic Gaming Gear Coming To Advanced Warfare, My Thoughts",28519,960,151.0,61,0
461,Youtube Collabs? Collabbing with Mr.Beast?,64522,1560,213.0,42,0
462,Sacrifices And Youtube,28198,1457,219.0,22,0
463,5$ To Advertise Your Youtube Channel???,108066,2363,121.0,39,1
464,Reuploading Other Youtubers Videos? Stealing Big Youtubers Videos.,32603,798,254.0,66,0
465,4k Subscriber's! First Channel Story!,66375,2350,314.0,37,0
466,People Who Got Rich From Movie Trailers On Youtube,67087,1248,206.0,50,0
467,Beast Gaming Set Up #almost4k,55896,1870,151.0,29,0
468,Advanced Warfare DLC 4 Honest Parody,27828,961,157.0,36,0
469,World's Worst Thieves,59639,1613,209.0,21,0
470,VANOSSGAMING IS IN TROUBLE,210406,3481,173.0,26,0
471,SpiderMan Robs Walmart?????,27853,849,187.0,27,0
472,My Upload For ThunderstruckGaming,27782,750,220.0,33,0
473,Best FNAF 4 Fake Reactions! So Funny lol,64715,2159,147.0,40,0
474,How Many People Get The Diamond Play Button?????,1741371,17537,236.0,48,0
475,Supply Drops For Charity! Ep #2,28447,1265,302.0,31,0
476,Best Thing To Happen To This Channel?????,28737,1036,88.0,41,0
477,Supply Drop Challenge For Charity,28320,1325,295.0,33,0
478,FaZe Clan Vs Pewdiepie Who Would Win?????,39297,919,171.0,41,0
479,"FaZe Adapt ""Stuttertage""",80748,2725,284.0,24,0
480,The COD Community? Sleeping With Your Mom?,27756,1034,183.0,42,0
481,Exility And Some Other Stuff - Update Vid,43566,11132,285.0,41,0
482,Every Minecraft Let's Play Ever In Under A Minute,81145,2796,60.0,49,0
483,Why I deleted Today's First Upload,41648,1165,115.0,34,0
484,What Is Spam404?????,34358,823,311.0,20,0
485,The History Of Pewdiepie In 2 Minutes,176269,5921,126.0,37,0
486,TWITCH STREAMERS REACT TO RECEIVING THOUSANDS FROM SAME GUY!,195937,1887,452.0,60,0
487,I Hate Spam On Youtube,27770,995,189.0,22,0
488,INSANE TRIPLE LEGENDARY SUPPLY DROP! BEST OPENING YET?,40277,0,209.0,54,0
489,Low Bridge Causes Dozen's Of Wrecks! 11-8 Bridge,28355,1240,223.0,48,0
490,3k HYPE,93307,3255,203.0,7,0
491,How To Become A Gaming Youtuber! All You Need To Know!,28358,1113,422.0,54,0
492,My Solution For The Theft At The FaZe House - @FaZe_Rain @FaZeAdapt,27776,641,187.0,67,0
493,5 Popular Channels That Were Terminated,124494,4359,300.0,39,0
494,What Is Youtube Terms Of Service?????,33789,867,249.0,37,0
495,Do You Think You Will Be Famous?????,85854,2374,224.0,36,0
496,What Is Swatting? Why I hate It!,67604,2041,259.0,32,0
497,Reddit Is In Chaos After Firing Victoria,29866,653,106.0,40,0
498,Paid Promotion On Youtube Good?,33894,742,439.0,31,0
499,How To Gain Youtube Success,52771,2146,162.0,27,0
500,FaZe Members Reaction's To Joining Faze,549232,13045,191.0,39,0
501,Battle of The Beasts Round 2 Winners!,28574,811,847.0,37,0
502,Youtube In 10 Years?????,111410,3225,188.0,24,0
503,The Ultimate Motivation For Small Youtubers,212624,11355,164.0,43,0
504,How Much Does Pewdiepie Make?,120953,2042,233.0,29,0
505,Random Stuff You Don't Care About,28835,1191,142.0,33,0
506,Battle Of The Beast Round 1 Winners!,27807,779,553.0,36,0
507,The Truth About Big Community Channels,28744,1160,273.0,38,0
508,WORLD'S FIRST BLACK OPS 3 GUN SYNC!!,41621,1163,81.0,36,0
509,Insane Gun Sync - 7 Hours To Make,27963,1192,134.0,33,0
510,Battle of The Beasts Bracket!!!! (Not accepting anymore),28526,778,98.0,56,0
511,Free To Use Advanced Warfare Gameplay! 2015,28619,860,125.0,43,0
512,Battle Of The Beast Tournament UPDATE!,28958,1089,152.0,38,0
513,My Top 5 Favorite Things At E3 2015,28624,998,150.0,35,0
514,Battle Of The Beasts (youtubers needed),28089,746,183.0,39,0
515,History Of COD Part 2! Black Ops 1 - History Of COD On Youtube!,29119,784,946.0,63,0
516,How Did Notch Become A Billionaire? How Much Did Minecraft Sell For?????,67182,1925,216.0,72,0
517,Top 10 Richest Gaming Youtubers?????,120613,4341,245.0,36,0
518,Markiplier Is A Great Man! Sub shodleech!,113808,1616,123.0,41,0
519,Insane Advanced Warfare Hacker!,28835,911,134.0,31,0
520,"What Is Considered A ""Bad Video"" On Youtube????? #karnageRC",38130,924,252.0,59,0
521,I Think I Am Going For The #KarnageRC,28012,939,232.0,37,0
522,Every FaZe Video Ever #karnageRC,29093,944,197.0,32,0
523,How Much Money Do You Make As An Uber Driver??????,27751,569,304.0,50,0
524,How Much Does Faze Rain's Giveaway Cost??????,27828,755,73.0,45,0
525,MY MESSAGE TO COD YOUTUBERS (Watch till end plz),28859,819,292.0,48,0
526,Best Of FlipArtz - His Best Advanced Supply Drops EVER!,48447,812,640.0,55,0
527,Summer Is Finally Here!,29001,724,146.0,23,0
528,Why Are Things Unbalanced In Video Games?????,41883,778,210.0,45,0
529,New Channel?,101132,3399,296.0,12,0
530,"Youtube ""Freinds""",52086,1059,279.0,17,0
531,"Youtube Stat News - Vevo Gets 10 Bil. Views A Month, Channel Milestones, and more!",28313,1346,328.0,82,0
532,Big Changes??? Idk just watch the stupid video,28255,929,394.0,46,0
533,How Much Money Does DramaAlert Make????,28392,1116,92.0,39,0
534,L0114R - Biblical Creeper Post for Post @L0114R,27771,680,109.0,47,0
535,Why Do We Do Things That Are Bad For Us?????,28631,1083,204.0,44,0
536,How To Monetize Your Videos And Make Lots Of Youtube Money!!$$$,27763,903,623.0,63,1
537,DIY $23.00 Mini Sound Booth? Does It Work?,87574,1864,229.0,42,1
538,Cut Coms vs Uncut Coms,27946,801,159.0,22,0
539,Minimum Wage,40679,1064,119.0,12,0
540,My New Channel Trailer ;),39206,1172,77.0,25,0
541,Why I Changed My Channel Name,90535,2652,196.0,29,0
542,How Overpriced Is Movie Popcorn?????,28109,830,160.0,36,0
543,Screw Warface,28994,853,217.0,13,0
544,My Problems,44114,1512,247.0,11,0
545,Ma Channel,29376,1002,168.0,10,0
546,Remember When COD Was Fun?,28160,890,216.0,26,0
547,My Baby Got a Virus :(,50519,1211,175.0,22,0
548,Modern Art Is A Joke,31269,890,169.0,20,0
549,Cheat Channels,27964,796,214.0,14,0
550,Time,48119,1227,133.0,4,0
551,"2,000 Subscribers",190019,8842,145.0,17,0
552,Youtube,52737,1507,286.0,7,0
553,"How To SAT, Get Into Yale",29997,652,245.0,25,0
554,100k Subs With No Videos????,412615,8351,257.0,28,0
555,Is Jacksepticeye A Millionaire?????? 2016,121083,2548,190.0,41,0
556,How Rich Is Buzz Feed???,34691,701,205.0,24,0
557,How To Do A High School or College Paper!,49820,1132,236.0,41,0
558,What is Crohn's Disease?????,419248,16829,423.0,28,0
559,What Happens If You Get A Copy Right Strike??,146707,3969,232.0,45,0
560,5 Steps To Becoming Successful On Youtube,88233,4666,193.0,41,0
561,Making Youtube a Priority,35912,1120,196.0,25,0
562,Why I Was Not Uploading,33350,831,95.0,23,0
563,Youtubers Analytic's Explained,33701,920,217.0,30,0
564,How Much $$$ Does Every Member of FaZe Make COMBINED????? 2016,89112,1375,237.0,62,1
565,Is Pewdiepie The #2 Youtuber?!?!?  :0,50868,1244,235.0,37,0
566,How Much Money Does Smosh Make????? 2016,43885,885,167.0,40,0
567,Who Are The Worst Youtubers?????,145291,2929,216.0,32,0
568,Subscriber Goals For 2016,33262,968,248.0,25,0
569,How Many People Do Youtube as a JOB?????,27819,761,174.0,40,0
570,How Much Money Does Syndicate Project Make????? 2016,43751,671,204.0,52,0
571,Are Youtubers Millionaires?,100026,2146,195.0,27,0
572,Magecraft - Epic Hit! 11k Troops killed.,27851,713,233.0,40,0
573,Highest Paid Musicians????,61468,1261,288.0,26,0
574,Making Fun Of Youtuber's Intros.,283687,6931,114.0,32,0
575,10 Things You DIDN'T Know About Youtube!,39532,1061,181.0,40,0
576,Quitting?,89874,3592,226.0,9,0
577,How Much Money Does Markiplier Make????? 2016,74312,1498,154.0,45,0
578,PewDiePie Uploads A Fake Video! LOL,47792,1094,155.0,35,0
579,Pewdiepie Was On T.V.,97391,2865,149.0,21,0
580,Five Facts You Didn't Know About Youtube.,51143,1380,261.0,41,0
581,Milestones And Plans For My Channel,41764,1178,180.0,35,0
582,How Much Money Did Gangnam Style Earn??? 2016,60071,1358,144.0,45,0
583,Best League Player In The Universe.,295257,16719,215.0,35,0
584,MageCraft - Beginners tutorial. (The app),29925,729,527.0,41,0
585,How much money does VanossGaming Make? 2016,179746,3079,200.0,43,0
586,Opening Old Basketball Cards! Ep. #1 (Michael Jordan Found),92982,2410,267.0,59,0
587,20 Best Websites?????,82894,1966,404.0,21,0
588,"How Much Money Does ""Chris Smooth"" Make?????",37862,789,242.0,44,0
589,Money Problems,150323,3462,242.0,14,0
590,Vanoss vs Speedy! Who is better? Updated.,30759,917,225.0,41,0
591,Welcome To My Channel!,50368,1287,28.0,22,0
592,1500,174215,5950,143.0,4,0
593,How Much Money Does Yogscast Make????? 2016,31971,583,226.0,43,0
594,How Much Does WhiteBoy7thSt Make????? 2016,148795,1778,207.0,42,0
595,"How Much Does ""Epic Rap Battles"" Make?????",27849,700,200.0,42,0
596,How Much Money Does FaZe Make?????,27763,799,198.0,34,0
597,"Top Youtube ""ShoutOuts""",27799,1063,365.0,23,0
598,Youtube Dream,48710,1636,271.0,13,0
599,In Dis Video I Play Minecraft. (Factions),36157,1136,529.0,41,0
600,Youtube Grind,62025,1842,200.0,13,0
601,Hacker in Ghost???? I Couldn't Kill Him.,28564,930,36.0,40,0
602,How Much Money Does Tmartn Make?????,27866,830,157.0,36,0
603,How Much Money Does FaZe Rain Make?????,46145,932,215.0,39,0
604,G2g Brb,27914,975,180.0,7,0
605,Crazy Nub Tub Reactions! Bo2 Fun!,28067,883,220.0,33,0
606,Fun In COD. - Insane Reactions Lol,28004,882,229.0,34,0
607,Minecraft Build-off Fun!!!!!,45239,1360,213.0,28,0
608,This Kid Should Quit COD....,51891,1132,77.0,28,0
609,Computer vs Console My Perspective.,61514,1584,205.0,35,0
610,5 Youtubers I Think Will Be Famous...,152302,4303,264.0,37,0
611,How Much Does PewDiePie Make????? 2016,224344,4091,206.0,38,0
612,I Got Really Really Really Bored....,30158,964,52.0,36,0
613,How Much Money Does Penguinz0 Make????? 2016,66471,2570,175.0,44,0
614,How Much Money Does CaptainSparkles Make????? 2016,327953,4038,183.0,50,0
615,How Much Money Does Tobuscus Make?????,37402,906,142.0,38,0
616,COD IS NOT DEAD,45333,1642,202.0,15,0
617,Storm,138662,4704,181.0,5,0
618,Hearthstone - All Beards Challenge!,40684,1077,1433.0,35,0
619,Youtube ad.,281876,6551,38.0,11,0
620,Impossible,48804,1808,233.0,10,0
621,Motivation,50387,2094,174.0,10,0
622,1k Subs,16785186,1255883,195.0,7,0
623,Yup I is the best at the game.,151603,3340,430.0,30,0
624,Should I join FaZe?????,485364,11417,210.0,23,0
625,"Youtube Networks Requirerments. (Machinima, TGN, 8byte....)",54408,860,286.0,59,0
626,Two Years of Youtube.,242115,6420,271.0,21,0
627,"How Much Money Does ""Element Animation"" Make?????",101891,2134,209.0,49,0
628,"How Much Money Does ""Skydoesminecraft"" Make????",43432,1058,167.0,47,0
629,Should College Athletes Be Paid?????,49378,1315,276.0,36,0
630,"""Beast"" Channel Trailer",41321,1250,121.0,23,0
631,What It Takes To Be A Full Time Youtuber...,32282,1169,281.0,43,0
632,How Video Games Boosted My SAT Score. Lol,36553,1096,177.0,41,0
633,How Much Money Do I Make?????,107172,3662,250.0,29,0
634,Update,36462,1176,261.0,6,0
635,Subscribers.,66604,2247,180.0,12,0
636,How Much Money Does KyR's Speedy's Crew Make?????,71439,1463,174.0,49,0
637,How Many Youtubers Are Millionaries?????,265782,5711,233.0,40,0
638,"Flappy Bird - Builders Showdown, Which is Better?",71136,2076,85.0,49,0
639,New COD Zombies In 2014?????,51804,1510,151.0,28,0
640,Minecraft Mansion Timelapse,552866,18270,302.0,27,0
641,Top 5 NON-COPYRIGHTED Songs!!!!!,80969,2524,204.0,32,0
642,Vanoss vs Speedy! Which is better?,85053,2040,187.0,34,0
643,I Hate Pewdiepie!!!!!,2774627,224189,126.0,21,0
644,Does Spam Work?????,247622,4942,255.0,19,0
645,100th VIDEO SPECIAL!,253575,9958,284.0,20,0
646,The Vortex SMP Episode 1! Just Derping Around and Explaining Things.,73798,2419,1519.0,68,0
647,Has Youtube Met Its Match?????,52739,1410,164.0,30,0
648,How Much Money Does Pewdiepie Make????? (Updated 2015),1006853,19189,250.0,54,0
649,"Battle Pirates, my base.",40302,1181,176.0,24,0
650,"Battle Pirates, Hellstrike Base attack.",35668,1117,172.0,39,0
651,"Battle Pirates, Unstoppable Ship!",29868,1302,133.0,33,0
652,Best Hellstrike Build???? (Battle Pirates),29884,981,97.0,42,0
653,"Marauder Builds, Battle Pirates In Depth Builds.",29936,1297,186.0,48,0
654,"Battle pirates, How To Auto Lvl 40 Salvages.",32244,1222,78.0,44,0
655,Hellstrikes vs 7 halos!,41884,1134,96.0,23,0
656,"Battle Pirates, Hellstrike vs Epic Base!",35784,1179,58.0,40,0
657,"Battle Pirates, Another Hellstrike Fail.",35186,1214,57.0,40,0
658,Battle pirates Hellstrike fail!,35820,1164,47.0,31,0
659,"Battle Pirates, lvl 66 vs Missile Cruiser x Fleet!",38007,1160,84.0,50,0
660,"Battle Pirates, Hellstrike Too Overpowered????",37202,1169,160.0,46,0
661,"Battle Pirates, All Sentinel Base.",39067,1260,72.0,34,0
662,"Battle pirates, Lvl 58 Mercury Base Attack!",55248,1406,76.0,43,0
663,"Battle Pirates, Stingray vs Mercury Epic Battle!",38388,1393,66.0,48,0
664,OpTiC NaDeShOt Got Hack!!,45656,1494,165.0,25,0
665,"Epic Ghost Multiplayer EasterEggs! (PrisonBreak, Sovereign, and Flooded)",59001,2171,100.0,72,0
666,Why Google Does Not Care What We Think....,243910,4828,180.0,42,0
667,My First Kem Strike!,46580,2030,269.0,20,0
668,Google+ The Death Of Youtube?????,82498,2347,163.0,33,0
669,How Much Money Does PewDiePie Make?????,518975,11036,332.0,39,0
670,Most Overpowered Guns In Ghost!,64559,2451,160.0,31,0
671,Are Minecraft Faction Has A New Pet! (poopymiscquidlepants),63826,1903,15.0,59,0
672,Battle Pirates!,59328,2399,215.0,15,0
673,How To Duplicate Diamonds!!!!,113422,4570,37.0,29,0
674,50k Video Views!!!! EpicSauce!,175254,6801,103.0,30,0
675,If This Video Gets One Million Views.....,10850644,1027866,46.0,41,0
676,These Were The Good Days....,92825,3002,52.0,28,0
677,Channel Update.,94490,3049,162.0,15,0
678,Funny Noob Tubing Reaction Montage!,70807,2391,149.0,35,0
679,"Minecraft, How To Grief Without Being Seen!",112364,4186,63.0,43,0
680,Buried Round 50 Gameplay! Black ops 2 Zombies.,72767,2738,82.0,46,0
681,Minecraft Let's Play Ep. # 2 - Having Fun and Derping!,118912,5326,898.0,54,0
682,Worlds Biggest Ball Of TNT Minecraft!  Challenge Video!,398104,13943,105.0,55,0
683,"How To Get A Gaming Partnership, And What It Is.",51377,2248,409.0,48,0
684,Camping Montage.... LOL,58189,2311,200.0,23,0
685,Black Ops 2! Mini Update Video.,50040,2501,235.0,31,0
686,Randomness,50254,2593,318.0,10,0
687,203 Kill Game! Thanks For 300 Subscribers!,96565,4208,266.0,42,0
688,Call of Duty Ghost Multiplier Reveal Trailer Release Date!,59829,2490,230.0,58,0
689,Insane Black Ops 2 HACKER!!!!,141072,4215,359.0,29,0
690,Top Subscribed To Channels? BO2 w/ commentary!,64542,2892,338.0,46,0
691,Career Ender ....  LOL,84499,2741,26.0,22,0
692,I Bought A New Microphone!  (quality test),92263,3389,175.0,42,0
693,Top 10 Worst Guns in Call Of Duty History!,129012,5340,259.0,42,0
694,Black ops 2 Patch news!,73322,3141,233.0,23,0
695,Black ops 2 Invisible equipment and scorestreak glitch!,92307,3551,147.0,55,0
696,I'm Back! Update Video....,109816,4447,204.0,26,0
697,Minecraft Let's Play! Ep. 1. The Beginning!,495410,18815,1107.0,43,0
698,Channel Trailer....,159881,6698,48.0,19,0
699,Black ops 2 Shotgun gameplay w/ commentary....  Ps4 or Xbox?,152231,4657,362.0,60,0
700,Black ops 2 Gameplay w/ commentary. Hipsters,205324,8174,261.0,44,0
701,Project Zomboid Let's Play ep [04] lots of stuff,71673,3595,945.0,48,0
702,Project Zomboid Let's Play ep. [03] Looting and storing.,71530,3500,1474.0,56,0
703,Project Zomboid let's play ep. [02] Just some chores.,70903,3579,860.0,53,0
704,Project Zomboid Lets Play ep [01] Roughing it out!,119782,5105,1194.0,50,0
705,Gunpowder plus mod! (Grenade mod) Epic explosions for minecraft.,117781,4953,158.0,64,0
706,Horse racing map for new update! (minecraft),117506,4929,88.0,44,0
707,Amazing minecraft Cathedral!,237732,8837,58.0,28,0
708,Huge WW2 jeep! Minecraft creations.,341779,11989,64.0,35,0
709,Story time!,322855,13640,193.0,11,0
710,Epic Minecraft city! (w/ download link!),202721,7188,154.0,40,0
711,Pokemon online battle #9 [rb] Hidden power ice ftw!,98704,4865,319.0,51,0
712,Pokemon online battle #8 Stone edge,91935,5462,327.0,35,0
713,Online pokemon battle #7 [uu] 5-0,123294,6334,261.0,33,0
714,Magic karp sweeps whole team of LEGENDARIES!!!,106734,4986,215.0,46,0
715,Pokemon online battles #5 [uu] Heracross never seems to dissapoint me...,100684,5655,268.0,72,0
716,This is a detailed break down of my favorite UU team... ENJOY!,107139,5590,564.0,62,0
717,Pokemon online battle #4 [uu] Same old team,121255,0,279.0,43,0
718,Online pokemon battle #3 [uu] Ice punch,106066,0,205.0,39,0
719,Pokemon online battle #2 [uu] Herracross w/ Dat MOXIE BOOST,156590,0,169.0,59,0
720,Why I Haven't Been Uploading,501562,0,363.0,28,0
721,Most Epic Thing In Minecraft!?!?!?!?!?!!?????,255012,11421,273.0,45,0
722,Epic minecraft apartment complex!,295099,13499,53.0,33,0
723,Crazy Illulsions In Minecraft. (Bigre),445675,16835,155.0,38,0
724,Best Minecraft Castle Ever?,222043,12475,222.0,27,0
725,How to get unlimited diamonds! minecraft (x-ray),335916,16027,134.0,48,0
726,Drinks in minecraft (mod),314899,0,43.0,25,0
727,Emerald tool mod! (minecraft),306848,16048,49.0,29,0
728,This is a block? Since when lol.,497661,20764,52.0,32,0
729,Scary minecraft pig skin!,576897,22727,29.0,25,0
730,Most Epic minecraft skin EVER  (Psy),628977,26283,31.0,36,0
731,More birds IN MINECRAFT!!,743208,30976,126.0,25,0
732,Boxy item mod Minecraft.  EPIC,870011,36547,90.0,30,0
733,Harry Potter Mod In Minecraft! EPIC MUST SEE MOD!!!,3062369,0,239.0,51,0
734,Worst Minecraft Saw Trap Ever???,14505691,713175,157.0,32,0
